chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN811542.1	639046	0.73	0.95	0.72	0.73	0.83	1.00	0.60	0.74	0.72	0.81	0.87	0.66	0.80	0.99	0.66	0.89	0.65	1.00	0.92	1.00	0.89	1.00
KN811542.1	639063	0.88	0.89	0.81	0.80	0.65	1.00	0.89	0.78	0.77	0.91	0.81	0.71	0.78	0.93	0.76	0.65	0.65	0.78	0.91	1.00	0.80	0.27
KN811542.1	640329	0.25	0.00	0.30	0.02	0.00	0.00	0.00	0.00	0.41	0.22	0.08	0.04	0.01	0.03	0.02	0.27	0.39	0.03	0.20	0.00	0.04	0.00
KN811542.1	640333	0.58	0.98	0.62	0.77	0.75	1.00	0.14	0.50	0.56	0.79	0.92	0.86	0.85	0.84	0.77	0.65	1.00	0.99	0.87	0.47	0.98	1.00
KN811542.1	640340	0.67	0.74	0.52	0.76	0.64	0.98	0.23	0.38	0.65	0.71	0.64	0.81	0.60	0.83	0.88	0.46	0.53	0.68	0.63	0.12	0.36	0.43
KN811542.1	640346	0.95	1.00	0.98	0.67	0.59	0.98	0.31	0.93	0.99	0.74	0.98	0.96	0.96	0.85	0.94	0.69	0.98	1.00	0.86	0.44	0.94	1.00
KN811542.1	685742	0.00	0.22	0.09	0.00	0.01	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.07
KN811542.1	685933	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.06	0.09	0.00	0.09	0.00	0.01	0.09	0.08	0.00	0.00
KN811542.1	696973	0.97	0.99	0.63	0.14	0.88	0.84	0.23	0.64	0.57	0.65	0.55	0.79	0.92	0.84	0.81	0.33	0.00	0.82	0.94	0.65	0.80	0.21
KN811542.1	754751	0.00	0.10	0.00	0.00	0.04	0.00	0.01	0.01	0.04	0.04	0.02	0.02	0.00	0.07	0.12	0.03	0.00	0.08	0.00	0.20	0.01	0.00
KN811542.1	920196	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920209	0.00	0.34	0.00	0.21	0.00	0.00	0.13	0.00	0.00	0.01	0.00	0.11	0.01	0.00	0.15	0.00	0.00	0.09	0.00	0.00	0.04	0.00
KN811542.1	920779	0.07	0.00	0.00	0.04	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920939	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920960	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920970	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920981	0.01	0.08	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.00	0.10	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN811543.1	576321	0.05	0.03	0.05	0.03	0.18	0.06	0.10	0.32	0.09	0.09	0.07	0.10	0.06	0.15	0.05	0.12	0.09	0.07	0.12	0.18	0.05	0.07
KN811543.1	576483	0.55	0.44	0.51	0.33	0.34	0.59	0.07	0.15	0.25	0.29	0.47	0.14	0.43	0.48	0.41	0.45	0.00	0.05	0.49	0.06	0.42	0.07
KN811543.1	944845	0.74	1.00	0.50	0.78	0.30	0.20	0.94	0.84	0.99	1.00	0.84	0.87	0.63	1.00	0.96	1.00	0.08	0.99	0.68	0.92	0.71	1.00
KN811544.1	407659	0.02	0.27	0.02	0.19	0.01	0.00	0.18	0.00	0.00	0.02	0.15	0.00	0.13	0.00	0.03	0.00	0.00	0.00	0.00	0.02	0.06	0.00
KN811545.1	781693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	781716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	781718	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	281320	0.00	0.26	0.02	0.03	0.35	0.05	0.02	0.04	0.05	0.32	0.07	0.02	0.01	0.00	0.01	0.35	0.00	0.00	0.04	0.07	0.35	0.75
KN811546.1	535348	0.00	0.09	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.01
KN811546.1	542023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542039	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542064	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542071	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542114	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1146090	0.86	0.89	0.99	0.91	0.95	0.84	1.00	0.88	0.88	0.91	0.85	0.91	0.90	0.90	0.93	0.92	1.00	0.87	0.86	0.76	0.96	0.97
KN811546.1	1146108	0.85	0.85	0.69	0.52	0.90	0.32	0.95	0.86	0.73	0.91	0.67	0.78	0.78	0.91	0.89	0.73	1.00	0.91	0.70	0.65	0.85	0.91
KN811546.1	1616389	0.16	0.39	0.07	0.00	0.04	0.00	0.08	0.33	0.03	0.38	0.44	0.05	0.27	0.14	0.21	0.15	0.00	0.06	0.04	0.04	0.11	0.00
KN811546.1	2368598	0.74	0.95	0.72	0.73	0.83	1.00	0.16	0.75	0.72	0.81	0.87	0.66	0.80	0.99	0.78	0.89	0.65	1.00	0.89	1.00	0.88	1.00
KN811546.1	2368615	0.88	0.89	0.81	0.80	0.66	1.00	0.64	0.79	0.77	0.91	0.81	0.71	0.78	0.90	0.76	0.65	0.65	0.61	0.88	1.00	0.80	0.29
KN811546.1	2438526	0.74	1.00	0.50	0.71	0.26	0.20	0.99	0.84	0.99	1.00	0.83	0.94	0.66	1.00	0.92	1.00	0.08	0.99	0.68	0.92	0.66	1.00
KN811546.1	2618757	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.06	0.01
KN811546.1	2618762	0.00	0.10	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.07	0.01
KN811546.1	2618765	0.00	0.00	0.12	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	2618805	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	2618807	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	2618813	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.64	0.00	0.00	0.03	0.00	0.00
KN811546.1	2618815	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	2618821	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.26	0.00	0.00	0.18	0.10	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811546.1	2886062	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	2886285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	2886308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811546.1	2886324	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.07	0.00	0.00	0.00	0.26	0.01	0.00
KN811546.1	3244789	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811546.1	3244896	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01
KN811546.1	3244901	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
KN811546.1	3244915	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811546.1	3244929	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	3367615	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	3367621	0.08	0.01	0.00	0.24	0.00	0.00	0.00	0.18	0.10	0.00	0.00	0.00	0.00	0.01	0.00	0.09	0.00	0.00	0.00	0.00	0.01	0.01
KN811546.1	3381553	0.46	0.38	0.82	0.81	0.47	0.01	0.62	0.47	0.56	0.45	0.53	0.46	0.83	0.98	0.54	0.52	0.07	0.24	0.87	0.69	0.55	1.00
KN811546.1	3381585	0.76	0.95	0.78	0.75	0.38	0.99	0.61	0.96	0.84	0.63	0.50	0.88	0.72	0.49	0.64	1.00	0.96	0.27	0.70	0.93	0.48	0.99
KN811546.1	3381592	0.80	0.85	0.75	0.78	0.76	0.99	0.39	0.35	0.67	0.63	0.78	0.95	0.86	0.89	0.79	0.99	0.95	1.00	0.67	0.93	0.67	1.00
KN811546.1	3381598	0.82	0.88	0.76	0.80	0.78	0.99	0.67	0.64	0.94	0.81	0.83	0.89	0.85	0.93	0.97	1.00	1.00	1.00	0.68	0.92	0.58	0.13
KN811546.1	3421283	0.88	0.85	0.42	0.69	0.97	0.95	0.78	0.90	0.89	0.96	0.89	0.69	0.86	0.87	0.20	0.83	0.00	0.92	0.91	0.60	0.76	0.58
KN811546.1	3548239	0.78	0.93	0.87	0.72	0.83	0.77	0.88	0.89	0.53	0.90	0.74	0.98	0.89	0.94	0.98	0.59	0.85	0.94	0.90	0.89	0.87	0.71
KN811546.1	3548246	0.77	0.94	0.97	0.83	0.85	0.83	0.58	0.97	0.78	0.94	0.72	1.00	0.88	0.93	0.98	0.53	0.85	0.94	0.91	0.89	0.91	0.82
KN811546.1	3548288	0.77	0.95	0.88	0.94	0.97	0.92	0.89	0.99	0.86	0.95	0.81	1.00	0.95	0.76	0.99	0.89	0.89	0.93	0.97	0.85	0.97	0.95
KN811546.1	3548296	0.94	0.94	0.75	0.91	0.82	0.93	0.93	0.96	0.90	0.92	0.79	0.99	0.95	0.98	0.99	0.85	0.93	0.91	0.96	0.85	0.95	0.85
KN811546.1	3548304	0.67	0.77	0.65	0.69	0.80	0.81	0.54	0.79	0.57	0.73	0.67	0.63	0.51	0.46	0.83	0.80	0.59	0.77	0.69	0.56	0.74	0.64
KN811546.1	3760013	0.37	0.41	0.21	0.27	0.37	0.32	0.18	0.43	0.16	0.48	0.34	0.28	0.28	0.12	0.23	0.35	0.00	0.35	0.21	0.21	0.35	0.00
KN811547.1	6486	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	6491	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
KN811547.1	6510	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	50252	0.06	0.00	0.00	0.13	0.00	1.00	0.00	0.14	0.01	0.00	0.00	0.18	0.16	0.11	0.42	0.14	0.00	0.00	0.00	0.00	0.12	0.00
KN811547.1	179849	0.31	0.00	0.04	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.12	0.00	0.00	0.14	0.01	0.00	0.00	0.01	0.00	0.00	1.00
KN811547.1	411324	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.17	0.00	0.02	0.00	0.02	0.05	0.09	0.00	0.13	0.57	0.00	0.08	0.00	0.01	0.00
KN811547.1	805569	0.85	0.70	0.90	0.47	0.61	0.91	0.63	0.88	0.56	0.94	0.94	0.90	0.80	0.92	0.96	0.53	1.00	0.93	0.80	0.62	0.75	0.81
KN811547.1	805580	0.61	0.59	0.81	0.40	0.86	0.60	0.50	0.85	0.37	0.96	0.89	0.90	0.65	0.68	0.87	0.18	1.00	0.93	0.81	0.58	0.68	0.00
KN811547.1	1352417	0.91	0.94	0.91	0.46	0.85	0.96	0.90	0.80	0.86	0.87	0.94	0.82	0.87	0.66	0.89	0.79	0.81	1.00	0.79	0.41	0.83	0.00
KN811547.1	1352434	0.77	0.93	0.91	0.51	0.78	0.77	0.96	0.85	0.83	0.94	0.84	0.84	0.90	0.81	0.87	0.91	0.81	1.00	0.75	0.88	0.84	0.53
KN811547.1	1352456	0.91	0.87	0.85	0.51	0.94	0.93	0.77	0.79	0.87	0.97	0.92	0.81	0.85	0.83	0.94	0.74	1.00	1.00	0.73	0.93	0.87	0.00
KN811547.1	1474146	0.05	0.00	0.33	0.21	0.00	0.03	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.17	0.01	0.01	0.06	0.00	0.01	0.00	0.00	0.00
KN811547.1	1621905	0.62	0.65	0.43	0.45	0.67	0.30	0.86	0.54	0.50	0.29	0.59	0.63	0.78	0.82	0.48	0.63	0.54	0.32	0.34	0.58	0.55	0.99
KN811547.1	1621929	0.73	0.84	0.74	0.59	0.78	0.52	0.68	0.57	0.76	0.39	0.87	0.70	0.83	0.71	0.85	0.92	0.78	0.92	0.89	0.92	0.72	0.99
KN811547.1	1629239	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	1629284	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.01
KN811547.1	1629301	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.16	0.00
KN811547.1	1629304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	1629309	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	1629312	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811547.1	2056584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
KN811547.1	2056614	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2056690	0.01	0.19	0.00	0.00	0.00	0.00	0.24	0.01	0.00	0.00	0.00	0.01	0.00	0.26	0.00	0.11	0.00	0.00	0.01	0.00	0.24	0.00
KN811547.1	2295648	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.07	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2295693	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.08	0.00	0.22	0.00	0.00	0.06	1.00	0.00	0.28	0.00	0.00	0.00
KN811547.1	2295710	0.09	0.00	0.10	0.00	0.01	0.05	0.00	0.00	0.16	0.00	0.28	0.07	0.01	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.51
KN811547.1	2427575	0.12	0.00	0.00	0.02	0.01	0.00	0.01	0.00	0.11	0.00	0.11	0.01	0.00	0.00	0.01	0.23	0.00	0.00	0.00	0.08	0.00	0.00
KN811547.1	2427584	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2427586	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2427595	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
KN811547.1	2427627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2427629	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.02	0.00
KN811547.1	2427632	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2427641	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2427644	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811547.1	2427648	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN811547.1	2427652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811547.1	2679631	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2679636	0.00	0.00	0.00	0.02	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811547.1	2679650	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2679680	0.00	0.08	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN811547.1	2679683	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2679689	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
KN811547.1	2679692	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	2679699	0.07	0.11	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.11	0.00	0.15	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.04	0.00
KN811547.1	3202121	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.25	0.04	0.00	0.00	0.00	0.07	0.00	0.00
KN811547.1	3318532	0.02	0.01	0.01	0.02	0.10	0.05	0.05	0.18	0.04	0.02	0.03	0.04	0.02	0.05	0.02	0.00	0.00	0.04	0.00	0.14	0.02	0.00
KN811547.1	3368340	0.07	0.04	0.09	0.12	0.16	0.16	0.45	0.23	0.18	0.14	0.13	0.22	0.17	0.28	0.13	0.16	0.00	0.10	0.09	0.26	0.05	0.06
KN811547.1	3373342	0.21	0.00	0.00	0.00	0.01	0.00	0.11	0.00	0.00	0.20	0.00	0.01	0.00	0.00	0.26	0.21	0.00	0.00	0.00	0.22	0.00	0.00
KN811547.1	3373348	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00
KN811547.1	3373395	0.09	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.01	0.00	0.10	0.05	0.00	0.00	0.00
KN811547.1	3448719	0.00	0.58	0.00	0.08	0.00	0.00	0.00	0.00	0.01	0.00	0.20	0.16	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.23	0.00
KN811547.1	3448728	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	3448738	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	3448742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811547.1	3448745	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811547.1	3688354	0.00	0.44	0.17	0.13	0.15	0.00	0.26	0.20	0.00	0.00	0.00	0.14	0.27	0.43	0.00	0.13	0.00	0.00	0.00	0.61	0.44	0.00
KN811547.1	3785228	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.20	0.00	0.00	0.00
KN811547.1	3785276	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
KN811548.1	182056	0.56	0.98	0.92	0.50	0.62	0.95	0.98	0.80	0.76	1.00	0.86	0.75	0.77	0.82	0.93	1.00	0.08	1.00	0.67	1.00	0.58	1.00
KN811549.1	26018	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN811549.1	26026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811549.1	26031	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811549.1	160406	0.03	0.01	0.03	0.07	0.06	0.00	0.04	0.05	0.02	0.33	0.11	0.04	0.07	0.03	0.03	0.04	0.02	0.54	0.02	0.06	0.04	0.15
KN811549.1	179667	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811549.1	180022	0.12	0.18	0.00	0.00	0.11	0.00	0.00	0.00	0.09	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00
KN811549.1	180042	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00
KN811549.1	180047	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
KN811549.1	771203	0.12	0.00	0.00	0.15	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811549.1	771221	0.03	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
KN811549.1	771235	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
