chr	pos	20_20-N4	20_20-N2	20_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	911281	0.85	1.00	0.76	0.80	0.95	0.96	0.96
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	1237927	0.77	0.88	1.00	0.52	0.52	0.81	0.83
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	1383441	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	1472096	0.14	0.33	0.30	0.57	0.79	0.38	0.39
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	757459	0.92	0.92	1.00	0.93	0.61	0.89	0.92
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	757462	0.89	0.62	0.75	0.93	0.68	0.85	0.85
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	863327	0.90	0.88	1.00	0.70	0.90	0.83	0.97
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	863334	0.87	0.88	1.00	0.91	0.90	0.83	0.48
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	863347	0.61	0.82	1.00	0.83	0.97	0.93	0.47
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	863366	0.58	0.65	1.00	0.91	0.97	0.63	0.97
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	1478193	0.89	0.62	0.47	0.60	0.63	0.20	0.99
KN811393.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811393.1:1:1760987:1 REF	749080	0.82	0.52	0.76	0.68	0.93	0.92	0.73
KN811393.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811393.1:1:1760987:1 REF	749082	0.65	0.43	0.67	0.74	0.89	0.86	0.67
KN811394.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811394.1:1:1748698:1 REF	441783	0.31	0.24	0.56	0.66	0.49	0.56	0.52
KN811394.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811394.1:1:1748698:1 REF	570840	0.18	0.58	0.33	0.17	0.85	0.90	0.47
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	541608	0.46	0.18	0.12	0.74	0.81	0.80	0.27
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	600635	0.61	0.83	1.00	1.00	0.98	0.87	0.98
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	920682	0.91	1.00	0.91	0.83	0.76	0.97	0.95
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	920688	0.89	0.93	0.70	0.73	0.73	0.85	0.92
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	1619248	0.65	0.90	0.93	1.00	0.91	0.70	0.85
KN811396.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811396.1:1:1762343:1 REF	947352	0.70	0.18	0.10	0.30	0.89	0.83	0.21
KN811396.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811396.1:1:1762343:1 REF	1372927	0.66	0.53	0.84	0.96	0.40	0.54	0.89
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142762	0.81	0.83	0.84	0.90	0.80	0.43	0.68
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142783	0.97	0.92	1.00	0.97	0.88	0.90	0.79
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142835	0.77	0.80	0.73	0.97	0.79	0.64	0.83
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142838	0.82	0.83	0.83	1.00	0.73	0.69	0.86
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142851	0.76	0.83	0.83	0.97	0.80	0.88	0.93
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	1611843	0.61	0.59	0.95	0.63	0.89	0.91	0.41
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	1611883	0.97	0.57	0.95	1.00	0.97	0.83	0.78
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82516	0.58	0.50	0.89	0.50	0.72	0.46	0.71
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82566	0.90	0.62	0.88	0.83	0.78	0.90	0.78
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82598	0.85	0.62	0.94	1.00	0.71	0.90	0.96
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82600	0.92	0.81	1.00	0.83	0.79	1.00	0.92
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82605	0.92	0.69	0.83	1.00	0.70	0.90	0.92
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82611	0.98	0.86	0.92	0.80	0.68	0.91	0.48
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	464527	0.29	0.26	1.00	0.20	0.46	0.38	0.35
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	939772	0.80	0.38	0.17	0.44	0.91	0.54	0.68
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	939786	0.76	0.96	0.10	0.44	0.93	0.80	0.83
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	939807	0.78	1.00	1.00	0.81	0.97	0.94	0.83
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	266620	0.90	0.70	1.00	0.93	0.40	0.88	0.88
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626823	0.65	0.97	0.79	0.83	0.74	0.76	0.78
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626855	0.95	0.97	0.75	0.79	0.80	0.83	0.85
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626857	0.93	0.90	0.68	0.13	0.87	0.84	0.93
KN811401.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811401.1:1:1713454:1 REF	626862	0.90	0.93	0.81	0.11	0.86	0.87	0.88
KN811402.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811402.1:1:1651507:1 REF	214776	0.98	0.58	1.00	0.77	0.92	0.97	0.85
KN811403.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811403.1:1:1702164:1 REF	1425741	0.81	0.42	1.00	0.11	0.55	0.56	0.78
KN811404.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811404.1:1:1645244:1 REF	723342	0.67	1.00	0.92	0.61	0.44	0.85	1.00
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	392105	0.95	0.88	0.57	0.77	0.85	0.88	0.73
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	464039	0.79	0.17	0.99	0.70	0.81	0.86	0.91
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	464060	0.60	0.33	0.53	0.75	0.81	0.66	0.93
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	464071	0.61	0.33	0.52	1.00	0.57	0.38	0.93
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1814525	0.93	0.76	0.60	0.91	0.73	0.91	0.96
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1843066	0.93	0.60	0.50	0.71	0.75	0.32	0.98
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	1947974	0.68	0.78	1.00	1.00	0.99	0.97	0.98
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	2238586	0.97	0.73	1.00	0.83	0.96	0.96	0.98
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	2238596	1.00	1.00	1.00	1.00	1.00	0.99	0.99
KN811406.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811406.1:1:4652060:1 REF	2238616	1.00	0.92	1.00	1.00	1.00	1.00	1.00
KN811407.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811407.1:1:1684531:1 REF	1392164	0.91	0.90	0.79	0.88	0.99	0.24	0.78
KN811407.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811407.1:1:1684531:1 REF	1392246	0.37	0.45	0.82	0.30	0.50	0.50	0.61
KN811407.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811407.1:1:1684531:1 REF	1425336	0.57	0.91	1.00	1.00	0.98	0.90	0.98
KN811408.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811408.1:1:1655053:1 REF	410603	0.89	0.64	0.47	0.60	0.38	0.31	0.97
KN811408.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811408.1:1:1655053:1 REF	499955	0.65	0.57	1.00	0.88	0.97	0.88	1.00
KN811408.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811408.1:1:1655053:1 REF	499974	0.62	0.79	1.00	0.83	1.00	0.88	0.62
KN811408.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811408.1:1:1655053:1 REF	499987	0.54	0.93	1.00	0.88	0.91	0.94	0.69
KN811408.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811408.1:1:1655053:1 REF	499994	0.58	0.93	1.00	0.71	0.97	0.94	0.92
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	244226	0.48	0.54	0.72	0.53	0.50	0.65	0.60
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	810680	0.56	0.20	0.47	0.31	0.43	0.40	0.17
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591922	0.47	0.78	0.59	0.62	0.77	0.56	0.77
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591928	0.62	0.72	0.49	0.42	0.85	0.70	0.76
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591933	0.57	0.60	0.44	0.34	0.83	0.70	0.61
KN811410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811410.1:1:1651770:1 REF	830874	0.93	0.13	0.14	0.23	0.89	0.86	0.73
KN811411.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811411.1:1:1597461:1 REF	1251879	0.98	0.82	1.00	0.70	0.96	0.87	0.97
KN811411.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811411.1:1:1597461:1 REF	1251910	0.92	0.79	1.00	0.90	0.88	0.82	0.93
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	63133	0.67	0.82	0.92	0.49	0.48	0.91	0.93
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	63173	0.89	0.94	0.17	0.68	0.88	0.99	0.91
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	208348	0.88	0.64	0.44	0.24	0.36	0.85	0.87
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1030723	0.86	0.88	1.00	0.41	0.95	0.93	0.61
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1030730	0.55	0.88	1.00	0.95	0.55	0.93	0.55
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1030743	0.87	0.81	1.00	0.49	0.98	0.87	0.92
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1030762	0.56	0.62	1.00	0.54	0.98	0.87	0.60
KN811412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811412.1:1:1829742:1 REF	1149536	0.56	0.11	0.79	0.16	0.10	0.19	0.77
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	14947	0.96	0.45	0.92	0.60	1.00	0.92	0.98
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1136322	0.91	0.89	0.92	0.90	0.93	0.95	0.97
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1136325	0.85	0.89	0.76	0.81	0.91	0.94	0.96
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1136338	0.85	0.83	0.81	0.67	0.26	0.35	0.90
KN811414.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811414.1:1:1601667:1 REF	1506024	0.84	1.00	0.77	0.39	0.73	0.94	0.97
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	465842	0.64	0.24	1.00	0.95	0.70	0.88	0.64
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	465859	0.53	0.25	0.94	0.23	0.71	0.63	0.53
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	1503486	0.89	0.95	1.00	0.82	0.89	0.42	0.89
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	1503489	0.87	0.95	1.00	0.82	0.89	0.83	0.87
KN811415.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811415.1:1:1644178:1 REF	1503502	0.93	0.95	1.00	0.77	0.89	0.88	0.91
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	575438	0.49	0.80	1.00	0.34	0.48	0.69	1.00
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	739990	0.95	0.43	0.89	0.36	1.00	0.88	0.97
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	739995	1.00	1.00	0.67	0.36	1.00	0.91	0.99
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	739999	1.00	1.00	0.67	0.36	0.45	0.92	1.00
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	1091659	0.75	0.83	1.00	1.00	0.99	0.95	0.98
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	1409070	0.88	0.18	0.10	0.47	0.94	0.92	0.21
KN811417.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811417.1:1:1776943:1 REF	1754144	0.26	0.60	1.00	0.17	0.67	0.41	0.23
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352787	0.69	0.93	0.96	0.98	0.62	0.69	0.79
KN811418.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811418.1:1:1629657:1 REF	352795	0.75	0.96	0.96	0.19	0.74	0.91	0.77
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	202609	0.70	1.00	0.44	0.89	0.94	0.32	0.99
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	202852	0.58	1.00	0.98	0.56	0.55	0.93	0.69
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	202897	0.34	0.83	0.47	0.24	0.41	0.43	0.51
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	904140	1.00	1.00	1.00	1.00	0.69	0.99	0.74
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	904162	1.00	0.92	1.00	1.00	0.40	0.98	0.39
KN811420.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811420.1:1:1681759:1 REF	904172	1.00	1.00	1.00	1.00	0.61	0.97	0.41
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1436691	0.52	0.50	0.25	0.16	0.25	0.41	0.36
KN811423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811423.1:1:1524554:1 REF	1436693	0.13	0.16	0.25	0.16	0.25	0.41	0.15
KN811425.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811425.1:1:1571863:1 REF	1141045	0.77	0.70	0.82	0.45	0.76	0.79	0.70
KN811426.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811426.1:1:1563649:1 REF	938697	0.92	0.56	0.50	0.74	0.42	0.34	0.98
KN811426.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811426.1:1:1563649:1 REF	1160561	0.92	0.38	1.00	0.88	0.67	0.69	0.86
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	1113341	0.74	0.24	0.86	0.64	0.86	0.73	0.58
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	1113343	0.76	0.92	0.86	0.76	0.36	0.84	0.81
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	1113348	0.65	0.97	0.85	0.65	0.88	0.88	0.75
KN811427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811427.1:1:1559318:1 REF	1113354	0.90	0.92	0.70	0.56	0.93	0.90	0.98
KN811430.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811430.1:1:1503563:1 REF	579113	0.85	1.00	0.92	1.00	0.53	1.00	1.00
KN811430.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811430.1:1:1503563:1 REF	1282421	0.81	0.83	0.52	0.77	0.91	0.84	0.92
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	167845	0.58	0.65	0.33	0.33	0.24	0.47	0.22
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464464	0.88	0.88	1.00	0.67	0.93	0.78	0.82
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464472	0.87	0.80	1.00	0.77	0.93	0.85	0.85
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464480	0.90	0.93	0.89	1.00	0.57	0.88	0.90
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464522	0.95	0.86	0.89	0.83	0.92	0.85	0.89
KN811433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811433.1:1:1513987:1 REF	1464529	0.59	0.81	0.86	0.83	0.86	0.85	0.81
KN811434.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811434.1:1:1436072:1 REF	918345	0.94	0.45	1.00	0.11	0.55	0.56	0.78
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	9658	0.76	1.00	0.37	0.54	1.00	0.98	0.92
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	9665	0.76	1.00	0.74	1.00	0.49	0.91	0.92
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	9670	0.72	1.00	0.74	1.00	1.00	0.98	0.92
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	930382	0.16	0.12	0.14	0.20	0.19	0.82	0.33
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	930404	0.30	0.38	0.22	1.00	0.47	0.92	0.23
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	930415	1.00	0.77	0.22	1.00	0.59	0.92	0.46
KN811436.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811436.1:1:1454745:1 REF	944063	0.66	0.48	1.00	0.80	0.83	0.90	1.00
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	241639	0.85	0.88	0.50	0.60	0.85	0.90	0.70
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	286667	0.33	0.82	1.00	0.96	0.32	0.66	1.00
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	304939	0.94	0.13	0.57	0.67	0.57	0.49	0.97
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	368866	0.97	0.12	0.57	0.72	0.56	0.71	0.68
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	992267	1.00	0.70	0.94	0.43	0.98	0.97	1.00
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052883	0.95	0.41	0.82	0.90	0.64	0.98	0.95
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052888	0.95	0.34	0.88	1.00	0.73	0.64	0.56
KN811439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811439.1:1:1480439:1 REF	1052890	0.92	0.92	0.82	0.82	0.82	0.58	0.49
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825038	0.85	0.64	0.91	0.50	0.92	0.90	0.73
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825070	0.83	0.73	1.00	0.79	0.73	0.90	0.90
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825072	0.85	1.00	1.00	1.00	0.81	0.93	0.86
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825077	0.96	0.73	0.77	0.93	0.80	1.00	0.92
KN811440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811440.1:1:1530095:1 REF	825083	0.94	1.00	1.00	0.79	0.96	1.00	0.95
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344350	0.76	0.81	0.67	0.36	0.85	0.91	0.80
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344436	1.00	0.76	0.90	0.91	0.86	0.78	0.73
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344468	0.94	0.82	0.90	0.94	0.83	0.91	0.80
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344470	1.00	0.88	0.90	1.00	0.97	0.91	0.71
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344475	0.88	0.88	0.75	0.94	0.83	1.00	0.73
KN811441.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811441.1:1:1477519:1 REF	344481	1.00	0.82	0.90	0.94	1.00	0.91	0.80
KN811443.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811443.1:1:1366826:1 REF	280888	0.97	0.94	0.66	0.79	0.82	0.85	0.94
KN811443.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811443.1:1:1366826:1 REF	553127	0.45	0.85	0.41	0.38	0.27	0.56	0.35
