chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
KN811540.1	212494	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	212505	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
KN811540.1	212542	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	212590	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00
KN811540.1	212727	0.00	0.06	0.00	0.33	0.00	0.00	0.00	0.00
KN811540.1	212752	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
KN811540.1	259092	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	259100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	259118	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	259130	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811540.1	259137	0.36	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811540.1	259388	0.74	0.00	0.00	0.00	0.00	0.00	0.49	0.00
KN811540.1	303070	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	624923	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	628342	0.00	0.00	0.44	0.00	0.00	0.00	0.08	0.00
KN811540.1	628367	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	628402	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	628404	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665107	0.14	0.00	0.00	0.00	0.07	0.00	0.01	0.00
KN811540.1	665113	0.01	0.11	0.01	0.00	0.09	0.00	0.06	0.00
KN811540.1	665129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665140	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811540.1	665162	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665166	0.01	0.17	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665172	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665186	0.13	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665198	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811540.1	665202	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00
KN811540.1	965189	0.80	0.71	0.96	1.00	0.99	0.53	0.36	0.01
KN811541.1	151058	0.02	0.14	0.18	0.02	0.03	0.00	0.17	0.00
KN811541.1	221257	0.91	0.81	0.94	0.42	1.00	0.57	0.82	0.99
KN811541.1	313958	0.15	0.28	0.09	0.00	0.38	0.60	0.37	0.03
KN811541.1	314120	0.66	0.66	0.79	0.09	0.76	0.91	0.82	0.17
KN811541.1	344362	0.00	0.00	0.00	0.00	0.19	0.00	0.02	0.00
KN811541.1	344500	0.00	0.00	0.13	0.00	0.00	0.00	0.03	0.00
KN811541.1	344612	0.00	0.06	0.00	0.98	0.00	0.00	0.00	0.00
KN811541.1	344613	0.01	0.00	0.00	0.07	0.18	0.21	0.00	0.00
KN811541.1	344668	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	503147	0.16	0.48	0.27	0.99	0.69	0.65	0.43	0.05
KN811541.1	503245	0.40	0.36	0.07	0.94	0.69	0.90	0.10	0.05
KN811541.1	503342	0.00	0.03	0.30	0.01	0.05	0.17	0.02	0.03
KN811541.1	941986	0.00	0.03	0.01	0.00	0.00	0.00	0.03	0.09
KN811541.1	964768	0.00	0.01	0.00	0.00	0.11	0.00	0.00	0.00
KN811541.1	964776	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	964789	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	964792	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	964794	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00
KN811541.1	964804	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	964821	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.01
KN811541.1	964834	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.91
KN811541.1	964866	0.14	0.00	0.00	0.00	0.00	0.00	0.20	0.00
KN811541.1	964898	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	964899	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00
KN811541.1	964914	0.20	0.00	0.00	0.00	0.11	0.01	0.00	0.00
KN811541.1	965154	0.25	0.08	0.00	0.10	0.00	0.00	0.00	0.01
KN811541.1	965162	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00
KN811541.1	973280	0.09	0.03	0.11	0.00	0.14	0.02	0.02	0.00
KN811541.1	973296	0.02	0.01	0.11	0.00	0.06	0.00	0.00	0.00
KN811541.1	973297	0.06	0.27	0.06	0.06	0.16	0.08	0.04	0.00
KN811541.1	1032406	0.30	0.00	0.26	0.00	0.27	0.00	0.02	0.00
KN811541.1	1032419	0.34	0.13	0.59	1.00	0.67	0.00	0.03	0.01
KN811541.1	1032526	0.21	0.02	0.47	1.00	0.23	0.00	0.47	0.00
KN811541.1	1032536	0.21	0.01	0.93	1.00	0.55	0.01	0.47	0.00
KN811541.1	1032563	0.21	0.43	0.07	0.00	0.40	0.34	0.39	0.00
KN811541.1	1035538	0.86	1.00	1.00	1.00	1.00	0.78	0.95	1.00
KN811541.1	1035542	0.85	0.79	1.00	1.00	1.00	1.00	0.87	1.00
KN811541.1	1035556	1.00	1.00	1.00	1.00	1.00	0.66	0.94	1.00
KN811541.1	1035569	1.00	0.79	0.58	0.00	1.00	1.00	0.96	0.99
KN811541.1	1035576	0.78	0.86	1.00	1.00	0.92	1.00	0.91	1.00
KN811541.1	1062859	0.22	0.17	0.32	0.02	0.10	0.50	0.33	0.01
KN811541.1	1062871	0.06	0.39	0.42	0.00	0.32	0.30	0.57	0.01
KN811541.1	1108132	0.00	0.14	0.04	0.00	0.10	0.14	0.50	0.00
KN811541.1	1108149	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108156	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108162	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108163	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108165	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01
KN811541.1	1108166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108191	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108206	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108207	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108215	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
KN811541.1	1108525	0.07	0.08	0.06	0.00	0.00	0.00	0.04	0.00
KN811541.1	1108536	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108538	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108547	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108575	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811541.1	1108577	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00
KN811541.1	1108591	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00
KN811542.1	87029	0.96	0.84	0.86	0.98	0.69	0.93	0.93	0.81
KN811542.1	87350	0.88	1.00	1.00	1.00	0.93	0.95	0.95	1.00
KN811542.1	87356	1.00	0.96	0.98	1.00	1.00	0.95	0.95	1.00
KN811542.1	87383	1.00	1.00	0.97	1.00	1.00	0.95	0.88	1.00
KN811542.1	148574	0.00	0.09	0.02	0.00	0.00	0.00	0.09	0.00
KN811542.1	148578	0.00	0.00	0.07	0.00	0.06	0.00	0.02	0.00
KN811542.1	148633	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	148668	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
KN811542.1	150170	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	150174	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	150223	0.00	0.11	0.00	0.49	0.00	0.00	0.00	0.00
KN811542.1	153677	0.00	0.00	0.01	0.00	0.00	0.12	0.01	0.00
KN811542.1	154005	0.05	0.00	0.00	0.00	0.06	0.00	0.08	0.00
KN811542.1	322900	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	322905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	322912	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	322943	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	322945	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	323005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	323011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	323019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	323027	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	323040	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	323046	0.00	0.00	0.07	0.00	0.00	0.00	0.17	0.00
KN811542.1	381939	0.88	1.00	0.78	0.00	0.96	0.78	1.00	1.00
KN811542.1	381944	0.96	1.00	0.91	0.00	0.76	0.71	1.00	1.00
KN811542.1	381949	0.97	1.00	1.00	0.00	0.71	0.71	0.91	1.00
KN811542.1	381952	0.81	0.36	1.00	0.00	0.89	1.00	1.00	1.00
KN811542.1	381957	1.00	0.63	0.88	0.00	0.92	1.00	1.00	1.00
KN811542.1	381968	0.57	0.51	1.00	0.00	0.66	1.00	0.65	0.00
KN811542.1	406005	0.00	0.07	0.00	0.00	0.00	0.00	0.09	0.00
KN811542.1	528946	0.00	0.06	0.25	0.04	0.16	0.08	0.05	0.10
KN811542.1	600457	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	600463	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	600484	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	600503	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	632580	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
KN811542.1	632581	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00
KN811542.1	632639	0.09	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811542.1	632652	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00
KN811542.1	632675	0.00	0.05	0.07	0.00	0.12	0.37	0.04	0.00
KN811542.1	632684	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811542.1	632696	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811542.1	639046	0.87	0.66	0.80	0.65	0.92	1.00	0.89	1.00
KN811542.1	639063	0.81	0.71	0.78	0.65	0.91	1.00	0.80	0.27
KN811542.1	640301	0.49	0.51	0.49	0.01	0.67	0.62	0.52	0.00
KN811542.1	640329	0.08	0.04	0.01	0.39	0.20	0.00	0.04	0.00
KN811542.1	640333	0.92	0.86	0.85	1.00	0.87	0.47	0.98	1.00
KN811542.1	640335	0.99	0.98	0.98	1.00	0.78	1.00	0.94	0.97
KN811542.1	640340	0.64	0.81	0.60	0.53	0.63	0.12	0.36	0.43
KN811542.1	640346	0.98	0.96	0.96	0.98	0.86	0.44	0.94	1.00
KN811542.1	685742	0.00	0.00	0.14	0.00	0.00	0.01	0.02	0.07
KN811542.1	685933	0.00	0.05	0.06	0.00	0.09	0.08	0.00	0.00
KN811542.1	686443	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	686472	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	686476	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	686483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	686493	0.03	0.00	0.00	0.00	0.12	0.00	0.04	0.00
KN811542.1	696973	0.55	0.79	0.92	0.00	0.94	0.65	0.80	0.21
KN811542.1	698473	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	698490	0.92	0.67	0.28	1.00	0.37	0.92	0.71	0.80
KN811542.1	698502	0.88	0.67	0.24	1.00	0.35	0.52	0.73	0.82
KN811542.1	698507	0.89	0.25	0.66	1.00	0.14	0.52	0.73	0.82
KN811542.1	698519	0.89	0.24	0.65	0.50	0.35	0.52	0.88	0.54
KN811542.1	754751	0.02	0.02	0.00	0.00	0.00	0.20	0.01	0.00
KN811542.1	920081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920083	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00
KN811542.1	920099	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920109	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920118	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920196	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920209	0.00	0.11	0.01	0.00	0.00	0.00	0.04	0.00
KN811542.1	920338	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920348	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920410	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920419	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920424	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
KN811542.1	920427	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920437	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811542.1	920450	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920453	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920454	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
KN811542.1	920464	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920472	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920481	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920512	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920518	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920779	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920939	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920960	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920970	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811542.1	920981	0.00	0.10	0.00	0.00	0.00	0.00	0.02	0.00
KN811543.1	379118	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN811543.1	379125	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811543.1	379136	0.11	0.00	0.00	0.00	0.14	0.10	0.07	0.00
KN811543.1	385320	0.16	0.00	0.00	0.00	0.14	0.00	0.00	0.00
KN811543.1	385324	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811543.1	385373	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
KN811543.1	385376	0.00	0.31	0.00	0.00	0.18	0.00	0.00	0.00
KN811543.1	576321	0.07	0.10	0.06	0.09	0.12	0.18	0.05	0.07
KN811543.1	576483	0.47	0.14	0.43	0.00	0.49	0.06	0.42	0.07
KN811543.1	888539	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811543.1	888552	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811543.1	888558	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
KN811543.1	888563	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
KN811543.1	888624	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
KN811543.1	944845	0.84	0.87	0.63	0.08	0.68	0.92	0.71	1.00
KN811544.1	85273	0.00	0.00	0.07	0.00	0.00	0.00	0.08	0.00
KN811544.1	164778	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01
KN811544.1	164787	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00
KN811544.1	164804	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	243111	1.00	0.57	0.44	0.00	1.00	0.65	0.50	0.01
KN811544.1	243130	1.00	0.41	0.43	0.00	1.00	1.00	0.19	0.99
KN811544.1	243136	1.00	0.58	0.60	0.00	0.61	0.66	0.61	1.00
KN811544.1	243139	0.97	0.00	0.22	0.00	0.33	0.41	0.20	0.96
KN811544.1	407605	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811544.1	407608	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	407659	0.15	0.00	0.13	0.00	0.00	0.02	0.06	0.00
KN811544.1	408047	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	408052	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	408060	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811544.1	408065	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	408431	1.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
KN811544.1	496964	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
KN811544.1	496973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	496980	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	496990	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	496995	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00
KN811544.1	497103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811544.1	497106	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811544.1	619812	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	619840	0.10	0.28	0.10	0.45	0.00	0.00	0.01	0.00
KN811544.1	619973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	619983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631302	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631329	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631332	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631441	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00
KN811544.1	631451	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811544.1	631453	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631473	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	631478	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811544.1	886710	0.46	0.94	0.37	0.00	0.72	0.08	0.70	0.00
KN811544.1	947481	0.92	0.67	0.70	1.00	0.70	0.86	0.90	0.01
KN811545.1	192434	0.00	0.00	0.10	0.00	0.09	0.00	0.02	0.00
KN811545.1	583865	0.08	0.00	0.00	0.00	0.00	0.32	0.00	0.00
KN811545.1	627792	0.21	0.16	0.54	0.00	0.46	0.36	0.97	0.44
KN811545.1	781693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	781716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	781718	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	781877	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00
KN811545.1	781889	0.00	0.00	0.01	0.00	0.08	0.00	0.31	0.00
KN811545.1	781890	0.00	0.00	0.01	0.00	0.00	0.08	0.00	0.00
KN811545.1	781925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	781934	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	782022	0.00	0.00	0.08	0.00	0.10	0.00	0.23	0.01
KN811545.1	873599	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	873607	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	873610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	873637	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	873638	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811545.1	873650	0.01	0.00	0.08	0.00	0.00	0.00	0.00	0.00
KN811545.1	992805	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	16776	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	16787	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	16817	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811546.1	38711	0.03	0.02	0.00	0.03	0.02	0.04	0.03	0.51
KN811546.1	87849	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.95
KN811546.1	133018	0.02	0.00	0.00	0.05	0.01	0.23	0.00	0.00
KN811546.1	133027	0.00	0.00	0.00	0.05	0.00	0.01	0.00	0.01
KN811546.1	133253	0.00	0.00	0.00	0.03	0.03	0.00	0.13	0.00
KN811546.1	133262	0.21	0.26	0.00	0.03	0.24	0.00	0.37	0.00
KN811546.1	133263	0.20	0.12	0.26	0.98	0.49	0.01	0.37	0.67
KN811546.1	157553	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.01
KN811546.1	157556	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	157661	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	157671	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811546.1	260655	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	260681	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	260698	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN811546.1	281320	0.07	0.02	0.01	0.00	0.04	0.07	0.35	0.75
KN811546.1	497847	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	497865	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	497913	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	497931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	497946	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.32
KN811546.1	535255	0.13	0.03	0.12	0.00	0.00	0.00	0.00	0.00
KN811546.1	535348	0.00	0.00	0.10	0.00	0.00	0.00	0.05	0.01
KN811546.1	535411	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	535444	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811546.1	542023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542039	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542071	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	542119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	590368	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
KN811546.1	616996	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	617000	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	617015	0.00	0.00	0.20	0.50	0.00	0.00	0.00	0.00
KN811546.1	617046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811546.1	617051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	719490	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	719508	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	903621	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00
KN811546.1	903623	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	903646	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00
KN811546.1	903668	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
KN811546.1	903698	0.00	0.19	0.08	0.00	0.00	0.01	0.02	0.00
KN811546.1	956110	0.01	0.01	0.00	0.04	0.01	0.00	0.00	0.00
KN811546.1	987500	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	987505	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00
KN811546.1	987517	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	987522	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1070169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1070196	0.00	0.33	0.00	0.00	0.00	0.41	0.00	0.00
KN811546.1	1070277	0.38	0.01	0.00	1.00	0.00	0.00	0.08	0.00
KN811546.1	1070281	0.66	0.42	0.00	1.00	0.00	0.70	0.08	0.00
KN811546.1	1070306	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00
KN811546.1	1076925	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1076929	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1076934	0.00	0.34	0.13	0.00	0.03	0.00	0.00	0.01
KN811546.1	1076937	0.00	0.34	0.01	0.00	0.00	0.00	0.24	0.00
KN811546.1	1076941	0.00	0.34	0.00	0.00	0.03	0.00	0.00	0.00
KN811546.1	1076944	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1076959	0.00	0.34	0.00	0.00	0.00	0.00	0.03	0.00
KN811546.1	1076968	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1076973	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00
KN811546.1	1076992	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00
