chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN807245.1	22446	0.41	0.97	0.30	0.62	0.23	0.69
KN807264.1	8214	0.96	1.00	0.94	0.94	0.91	0.61
KN807264.1	9248	0.95	1.00	0.58	0.34	0.15	0.82
KN807265.1	10557	0.94	0.69	1.00	1.00	0.68	1.00
KN807265.1	10561	1.00	1.00	1.00	1.00	0.69	1.00
KN807265.1	10563	0.84	1.00	0.67	1.00	0.99	1.00
KN807265.1	10566	0.37	0.64	1.00	1.00	1.00	1.00
KN807265.1	10593	1.00	1.00	1.00	1.00	0.92	0.99
KN807265.1	10595	0.82	1.00	0.71	1.00	0.94	1.00
KN807265.1	24203	0.91	0.87	1.00	0.83	0.95	0.98
KN807268.1	19487	0.62	0.63	0.42	0.75	0.61	0.59
KN807270.1	19853	0.71	0.61	0.88	0.66	0.68	0.84
KN807276.1	24190	0.41	0.89	0.91	0.55	0.67	0.39
KN807276.1	24196	0.88	0.97	0.91	1.00	1.00	0.77
KN807290.1	7512	0.86	0.55	0.75	0.86	0.70	0.91
KN807312.1	12457	0.90	1.00	1.00	0.87	0.90	0.89
KN807319.1	14092	1.00	1.00	0.31	0.79	1.00	1.00
KN807319.1	19088	0.31	0.87	0.91	0.52	0.24	0.60
KN807329.1	5968	0.84	0.27	0.94	0.63	0.68	0.94
KN807329.1	5972	0.76	0.97	0.75	0.88	0.67	0.94
KN807329.1	6456	0.99	0.96	0.55	0.85	0.92	0.85
KN807329.1	6504	0.70	0.10	0.50	0.64	0.53	0.45
KN807329.1	16491	0.48	0.88	0.33	0.53	0.68	0.16
KN807331.1	2174	0.68	0.15	0.43	0.55	0.82	0.64
KN807331.1	2176	0.68	0.46	0.93	0.64	0.79	0.82
KN807334.1	3246418	0.63	0.42	0.24	0.56	0.41	0.62
KN807334.1	3246442	0.74	0.64	0.52	0.85	0.77	0.80
KN807349.1	6015	0.90	0.73	1.00	0.80	0.90	0.97
KN807366.1	11076	0.74	0.60	0.82	0.55	0.65	0.62
KN807367.1	8279	0.82	0.21	0.31	0.97	0.30	0.81
KN807380.1	8834	0.68	0.64	0.83	0.75	0.75	0.85
KN807380.1	8835	0.58	0.65	0.85	0.69	0.80	0.87
KN807380.1	8885	0.90	0.62	0.88	0.91	0.84	0.91
KN807380.1	8917	0.85	0.62	1.00	0.95	0.84	0.88
KN807380.1	8919	0.92	0.81	1.00	0.95	0.77	0.85
KN807380.1	8924	0.92	0.69	0.82	0.95	0.84	0.97
KN807380.1	8930	0.98	0.86	1.00	0.82	0.90	0.94
KN807381.1	9930	1.00	0.14	0.40	0.74	0.57	0.95
KN807471.1	13756	0.89	0.60	0.47	0.48	0.86	0.87
KN807491.1	3662	0.88	0.29	1.00	0.56	0.71	0.90
KN807510.1	13734	0.62	1.00	0.98	1.00	0.98	0.89
KN807510.1	13736	0.62	1.00	1.00	0.80	0.12	0.14
KN807510.1	16013	0.96	0.84	1.00	1.00	0.88	1.00
KN807510.1	16040	0.56	1.00	1.00	0.40	0.42	0.64
KN807510.1	16360	0.93	0.88	1.00	0.93	0.96	1.00
KN807510.1	16386	0.96	1.00	1.00	0.93	0.94	0.99
KN807510.1	16392	0.97	0.81	1.00	0.93	0.94	0.99
KN807510.1	16405	0.96	1.00	1.00	0.81	0.94	0.81
KN807522.1	10188	0.41	0.39	0.13	0.49	0.63	1.00
KN807536.1	18749	0.62	0.67	0.74	0.61	0.78	0.64
KN807538.1	9348	0.90	1.00	1.00	0.87	0.90	0.89
KN807554.1	21475	1.00	0.80	1.00	1.00	0.83	0.88
KN807558.1	9181	0.90	1.00	0.85	0.95	1.00	0.79
KN807584.1	18574	0.95	0.86	1.00	0.90	0.88	0.90
KN807584.1	18577	0.89	0.86	0.70	0.87	0.88	0.91
KN807584.1	18590	0.95	1.00	1.00	0.90	0.88	0.95
KN807584.1	18612	0.78	1.00	0.90	0.79	0.79	0.97
KN807584.1	19185	0.71	0.88	0.82	0.96	0.89	0.95
KN807584.1	19205	0.95	0.95	0.94	0.97	0.94	0.95
KN807611.1	469	0.78	0.18	0.99	0.81	0.72	0.87
KN807611.1	490	0.58	0.36	0.52	0.79	0.70	0.87
KN807611.1	501	0.60	0.36	0.51	0.72	0.53	0.78
KN807617.1	7626	0.81	1.00	1.00	0.82	0.81	0.76
KN807619.1	9990	1.00	1.00	1.00	1.00	0.71	1.00
KN807619.1	10010	0.34	1.00	1.00	1.00	0.99	0.88
KN807623.1	19997	0.68	0.52	1.00	1.00	1.00	0.91
KN807623.1	20015	0.72	0.56	1.00	1.00	0.96	0.96
KN807636.1	19323	0.81	0.68	0.44	0.84	0.67	0.88
KN807640.1	17698	0.77	0.18	0.10	0.55	0.43	0.53
KN807663.1	14795	0.91	0.71	0.76	0.99	0.97	0.47
KN807681.1	2977	0.98	1.00	1.00	0.93	0.91	0.94
KN807725.1	4620	0.91	0.60	0.50	0.48	0.67	0.90
KN807749.1	9844	0.93	0.67	0.94	0.81	0.95	0.94
KN807749.1	9856	0.94	0.78	0.76	0.78	0.95	0.94
KN807749.1	9874	0.96	0.71	0.94	0.89	0.91	0.94
KN807767.1	6770	0.60	0.50	0.58	0.38	0.40	0.52
KN807768.1	9641	0.97	0.17	0.80	0.90	0.72	0.79
KN807768.1	9652	0.80	0.25	0.71	0.86	0.78	0.76
KN807777.1	2070	0.44	1.00	1.00	0.99	1.00	1.00
KN807866.1	1307	0.44	0.73	0.72	0.90	0.96	0.94
KN807900.1	54278	0.38	0.56	0.63	0.32	0.62	0.80
KN807925.1	4568	0.90	1.00	1.00	0.94	0.86	0.90
KN807925.1	4577	0.83	0.86	0.97	0.95	0.82	0.46
KN807943.1	6426	0.66	0.75	1.00	0.99	1.00	0.69
KN807943.1	6429	0.98	0.75	1.00	0.80	0.29	0.69
KN807943.1	6433	0.67	0.75	1.00	0.80	0.97	0.69
KN807943.1	6473	0.94	1.00	1.00	1.00	1.00	1.00
KN807945.1	13099	0.66	0.81	0.51	0.52	0.44	0.53
KN807945.1	13109	0.74	0.88	0.72	0.60	0.58	0.53
KN807995.1	11965	0.88	1.00	1.00	0.91	0.67	1.00
KN807995.1	11973	0.88	1.00	1.00	0.78	0.71	1.00
KN808048.1	3860	0.98	1.00	1.00	1.00	0.98	1.00
KN808063.1	13887	0.86	0.87	0.65	0.96	0.97	0.86
KN808067.1	15722	0.65	1.00	1.00	1.00	0.48	0.14
KN808067.1	15728	0.98	0.64	1.00	1.00	0.51	0.18
KN808072.1	12844	0.83	0.92	1.00	0.84	0.89	0.98
KN808072.1	12852	0.85	0.89	1.00	0.79	0.85	0.85
KN808188.1	1823	1.00	1.00	1.00	1.00	0.88	1.00
KN808188.1	1826	1.00	1.00	1.00	1.00	0.63	1.00
KN808188.1	1831	0.92	0.90	0.98	0.96	1.00	1.00
KN808188.1	1948	0.97	1.00	1.00	1.00	0.51	1.00
KN808205.1	9718	0.15	0.50	0.33	0.56	0.50	0.92
KN808211.1	3157	0.95	0.84	0.81	0.97	0.90	0.89
KN808211.1	3162	0.95	0.84	0.88	0.90	0.86	0.92
KN808211.1	3164	0.93	0.96	0.75	0.84	0.81	0.81
KN808211.1	3196	0.85	0.71	0.76	0.56	0.90	0.74
KN808211.1	3247	0.73	0.61	0.88	0.69	0.67	0.81
KN808213.1	12659	0.64	0.89	1.00	1.00	0.68	0.85
KN808222.1	3802	0.86	0.60	0.59	0.77	0.68	0.90
KN808227.1	121	0.92	0.82	1.00	0.96	1.00	0.97
KN808227.1	129	1.00	0.86	0.86	0.96	0.85	0.89
KN808227.1	137	1.00	0.91	0.79	0.91	1.00	1.00
KN808227.1	179	1.00	0.79	1.00	0.83	0.97	0.95
KN808227.1	186	0.84	0.83	1.00	0.76	0.97	0.91
KN808291.1	16	0.66	0.60	0.73	0.77	0.45	0.46
KN808291.1	48	0.95	0.95	0.87	0.90	0.94	0.96
KN808291.1	55	0.90	0.90	0.93	0.96	0.99	0.53
KN808291.1	61	0.97	0.98	0.94	1.00	0.95	0.59
KN808327.1	11023	0.71	0.57	0.18	0.73	0.90	1.00
KN808339.1	2555	0.12	0.13	0.38	0.85	0.77	1.00
KN808351.1	6602	1.00	1.00	1.00	0.56	1.00	1.00
KN808360.1	5670	0.87	1.00	1.00	0.91	0.91	0.95
KN808360.1	5686	0.83	1.00	0.95	0.81	0.89	0.79
KN808361.1	13676	0.86	0.93	0.94	0.40	0.57	0.41
KN808361.1	13681	0.93	0.93	1.00	0.55	0.69	0.95
KN808363.1	8496	0.89	0.74	0.89	0.78	0.75	0.55
KN808394.1	128	0.81	0.97	1.00	0.57	0.86	0.47
KN808394.1	142	0.86	1.00	1.00	0.97	0.96	0.99
KN808410.1	5997	0.93	0.84	0.91	0.90	0.88	0.94
KN808410.1	6002	0.93	0.79	0.91	0.81	0.88	0.94
KN808410.1	6004	0.90	0.95	0.73	0.91	0.68	0.88
KN808410.1	6036	0.81	0.67	0.83	0.60	0.96	0.70
KN808427.1	1336	0.21	0.12	0.23	0.31	0.10	0.17
KN808429.1	8911	0.88	0.29	1.00	0.56	0.71	0.82
KN808445.1	5843	0.81	0.84	0.90	0.81	0.79	0.86
KN808462.1	750	0.98	1.00	1.00	0.49	1.00	0.94
KN808499.1	5425	0.88	0.95	0.77	0.92	0.81	0.92
KN808528.1	4456	0.64	0.54	1.00	0.90	0.75	0.91
KN808542.1	1798	0.99	0.10	1.00	1.00	1.00	0.96
KN808544.1	4775	0.88	1.00	1.00	0.87	0.90	0.89
KN808562.1	44353	0.44	0.23	0.16	0.40	0.46	0.78
KN808566.1	8638	0.48	0.88	0.33	0.52	0.66	0.16
KN808649.1	9464	0.63	0.56	0.82	0.18	0.12	0.25
KN808657.1	9377	0.82	0.50	0.91	0.65	0.71	0.93
KN808732.1	4025	0.95	1.00	0.95	0.89	0.96	0.88
KN808732.1	4049	0.92	0.98	0.95	0.89	0.92	0.88
KN808732.1	4056	0.95	1.00	0.95	0.95	1.00	0.81
KN808732.1	4643	0.71	1.00	0.90	0.82	0.92	0.23
KN808735.1	6780	0.89	0.60	0.47	0.48	0.86	0.88
KN808770.1	11851	0.96	0.22	0.85	0.58	0.56	0.34
KN808818.1	1328	0.93	1.00	0.93	0.93	0.91	0.96
KN808831.1	2555	0.92	1.00	1.00	1.00	0.37	0.54
KN808839.1	10116	0.67	0.50	0.58	0.76	0.71	0.60
KN808841.1	430	0.38	0.50	0.88	0.74	0.83	0.80
KN808893.1	8217	0.76	0.98	1.00	0.94	1.00	0.94
KN808893.1	8221	0.81	1.00	1.00	0.89	0.98	0.94
KN808893.1	8227	0.95	1.00	1.00	0.97	0.98	0.98
KN808893.1	8232	0.95	1.00	0.90	1.00	0.91	0.90
KN808893.1	8250	0.75	1.00	1.00	0.86	0.47	0.94
KN808956.1	9791	0.70	0.18	0.10	0.60	0.43	0.90
KN808958.1	4869	0.69	0.21	0.88	0.62	0.89	0.82
KN808958.1	4901	0.92	0.93	0.73	0.75	0.40	0.90
KN808958.1	4903	0.96	0.28	0.87	0.71	0.88	0.95
KN808958.1	4908	0.96	0.34	0.80	0.83	0.90	0.97
KN808982.1	962	0.67	1.00	1.00	0.81	0.81	0.68
KN808991.1	712	1.00	1.00	1.00	0.50	0.90	1.00
KN808991.1	716	1.00	1.00	1.00	0.81	1.00	1.00
KN808991.1	1336	0.61	0.95	0.97	0.97	0.73	0.78
KN809007.1	2432	1.00	1.00	1.00	0.62	1.00	1.00
KN809007.1	2433	1.00	1.00	1.00	1.00	1.00	1.00
KN809007.1	2554	1.00	1.00	1.00	1.00	1.00	1.00
KN809007.1	2565	1.00	1.00	1.00	1.00	1.00	1.00
KN809008.1	7219	1.00	1.00	1.00	0.97	1.00	0.92
KN809008.1	7236	1.00	1.00	0.95	0.97	1.00	0.36
KN809008.1	7242	1.00	0.88	1.00	0.91	0.94	0.37
KN809008.1	7245	0.92	0.96	1.00	0.13	1.00	0.68
KN809008.1	7250	1.00	1.00	1.00	0.13	1.00	0.67
KN809023.1	5329	0.82	0.50	0.88	0.32	0.95	0.69
KN809025.1	6663	0.86	0.88	0.87	0.66	0.74	0.48
KN809134.1	160	0.14	0.89	0.66	0.96	0.93	0.95
KN809134.1	176	0.14	0.89	1.00	1.00	0.87	0.30
KN809150.1	1224	0.93	0.82	1.00	0.93	0.94	0.67
KN809150.1	1235	0.91	0.71	0.91	0.86	0.94	0.70
KN809150.1	1237	0.94	0.71	0.91	0.79	0.59	0.50
KN809179.1	9071	0.98	0.12	1.00	0.95	0.52	0.92
KN809217.1	3862	0.10	0.13	0.50	0.27	0.35	0.40
KN809225.1	9142	1.00	1.00	0.76	1.00	0.29	0.90
KN809225.1	9169	0.70	1.00	0.93	0.91	0.38	0.90
KN809230.1	7285	0.96	0.98	0.75	1.00	0.96	0.63
KN809317.1	7554	0.73	0.68	0.75	0.69	0.72	0.70
KN809340.1	826	0.86	0.82	0.69	0.88	0.89	0.89
KN809631.1	3259	0.82	0.81	0.97	0.83	0.59	0.67
KN809631.1	3261	0.93	0.84	0.97	0.80	0.63	0.91
KN809631.1	3266	0.89	0.84	0.97	0.87	0.66	0.94
KN809631.1	3272	0.95	0.86	1.00	0.94	0.92	0.94
KN809687.1	42	0.71	0.85	0.72	0.57	0.56	0.50
KN809687.1	52	0.64	0.83	0.52	0.52	0.42	0.58
KN809756.1	1937	0.66	0.45	1.00	0.84	0.77	0.76
KN809794.1	2421	1.00	0.96	1.00	0.97	0.29	0.96
KN809794.1	2425	0.94	1.00	1.00	1.00	0.97	0.96
KN809794.1	2431	1.00	1.00	1.00	0.51	0.68	0.96
KN809794.1	2447	0.38	1.00	1.00	1.00	0.94	0.95
KN809796.1	8374	0.31	0.74	1.00	0.92	0.97	1.00
KN809941.1	1607	0.64	0.67	0.74	0.64	0.78	0.65
KN809944.1	717	0.93	1.00	1.00	0.98	0.97	1.00
KN809961.1	2775	0.96	1.00	1.00	0.98	1.00	1.00
KN809962.1	5047	1.00	0.98	1.00	0.96	1.00	1.00
KN809962.1	5056	0.98	1.00	1.00	1.00	1.00	1.00
KN810031.1	4502	0.12	0.13	0.38	0.85	0.75	1.00
KN810031.1	4503	0.39	0.14	0.14	0.74	0.97	0.81
KN810067.1	7660	1.00	1.00	1.00	0.80	1.00	1.00
KN810067.1	7676	1.00	0.92	0.81	0.97	1.00	0.71
KN810126.1	810	0.96	0.40	0.18	1.00	1.00	0.99
KN810159.1	992	0.96	0.70	0.91	0.98	0.94	0.90
KN810306.1	2961	0.62	0.80	0.83	0.56	0.76	0.74
KN810318.1	1953	0.98	0.97	0.53	1.00	0.97	0.94
KN810318.1	1979	0.97	1.00	0.56	1.00	0.95	1.00
KN810318.1	1985	0.98	1.00	0.61	1.00	1.00	1.00
KN810318.1	1992	0.98	1.00	0.72	1.00	0.87	1.00
KN810318.1	1997	0.98	1.00	0.61	1.00	0.95	0.91
KN810318.1	2000	0.98	1.00	0.72	1.00	1.00	1.00
KN810347.1	4132	0.84	0.81	0.73	0.80	0.88	0.75
KN810385.1	2414	0.94	0.42	1.00	0.95	0.38	0.89
KN810439.1	2500	1.00	1.00	1.00	0.95	0.91	1.00
KN810514.1	3374	1.00	0.71	0.36	0.99	0.61	0.88
KN810514.1	3390	1.00	0.94	1.00	0.90	1.00	1.00
KN810514.1	3396	1.00	1.00	1.00	0.88	1.00	1.00
KN810514.1	3400	1.00	1.00	1.00	0.75	0.67	1.00
KN810514.1	3404	1.00	0.82	0.82	0.91	0.56	0.80
KN810606.1	3005	0.59	0.42	0.97	0.51	0.57	0.27
KN810941.1	1056	0.65	1.00	0.73	0.94	0.55	0.97
KN811024.1	1968	0.96	0.22	1.00	0.85	0.55	0.92
KN811133.1	470	0.60	1.00	1.00	0.69	0.88	0.73
KN811133.1	483	0.60	0.96	1.00	0.92	0.88	0.79
KN811283.1	657745	0.94	0.83	0.96	0.97	0.90	0.98
KN811283.1	657757	0.87	0.67	0.79	0.93	0.84	0.93
KN811283.1	1592267	0.75	0.33	0.92	0.60	0.73	0.96
KN811283.1	2222356	0.88	0.91	0.87	0.73	0.94	0.96
KN811283.1	2222369	0.74	0.92	1.00	0.73	0.78	0.97
KN811284.1	612195	0.54	0.37	0.79	0.56	0.77	0.81
KN811284.1	612200	0.57	0.27	0.79	0.83	0.77	0.52
KN811284.1	612202	0.48	0.43	0.74	0.53	0.84	0.82
KN811284.1	802847	0.45	0.88	0.33	0.52	0.66	0.18
KN811284.1	1988794	0.56	0.79	1.00	0.91	1.00	1.00
KN811285.1	2353020	0.56	0.56	0.48	0.75	0.50	0.65
KN811285.1	2353072	0.48	0.19	0.69	0.32	0.34	0.42
KN811285.1	2353127	0.94	0.84	0.97	0.96	0.90	0.95
KN811285.1	2353149	0.46	1.00	0.90	0.90	0.80	0.57
KN811285.1	2478283	0.86	0.74	0.74	0.68	0.76	0.77
KN811285.1	2967222	1.00	1.00	0.77	0.97	0.99	0.88
KN811285.1	2967243	0.96	0.95	0.61	0.97	0.98	0.94
KN811285.1	3115119	0.90	0.95	0.83	0.89	0.92	0.91
KN811285.1	3115139	1.00	1.00	0.92	0.95	0.83	0.93
KN811286.1	1889866	0.61	0.83	0.60	0.58	0.69	0.43
KN811286.1	1928950	0.57	0.11	0.25	0.92	0.86	0.38
KN811286.1	1928958	0.52	0.94	0.25	0.78	0.98	0.75
KN811286.1	2134227	0.94	0.96	1.00	0.84	0.82	0.17
KN811286.1	2172262	0.85	0.75	1.00	0.97	0.89	0.93
KN811286.1	2172268	0.93	0.83	0.94	0.93	1.00	0.79
KN811286.1	2172273	0.90	0.67	0.94	1.00	0.89	0.76
KN811286.1	2172275	0.85	0.83	0.94	0.93	1.00	0.85
KN811286.1	2172307	0.38	0.53	0.87	0.90	0.62	0.79
KN811287.1	124301	0.87	0.38	0.57	0.89	0.77	0.77
KN811287.1	124303	0.96	1.00	1.00	1.00	0.79	1.00
KN811287.1	124308	0.94	1.00	1.00	0.67	0.95	0.92
KN811287.1	124314	0.96	1.00	0.79	1.00	0.97	0.92
KN811287.1	258916	0.96	0.62	0.94	1.00	0.91	0.84
KN811287.1	1545424	0.89	0.25	1.00	0.83	0.84	0.90
KN811288.1	169115	0.59	0.71	0.71	0.48	0.62	0.60
KN811288.1	1629757	0.63	0.47	0.66	0.58	0.96	1.00
KN811288.1	1629767	0.93	1.00	0.76	0.97	1.00	0.97
KN811288.1	1629787	0.52	0.92	0.63	0.26	0.90	0.97
KN811288.1	2665749	0.34	0.38	0.53	0.44	0.26	0.33
KN811288.1	2906495	0.65	0.64	0.14	0.21	0.16	0.57
KN811289.1	657544	0.91	0.89	0.69	1.00	0.41	0.28
KN811289.1	1863216	0.94	0.89	0.83	0.98	0.95	0.92
KN811289.1	1863219	0.94	1.00	0.83	1.00	0.97	0.92
KN811289.1	1863232	0.94	1.00	0.83	0.74	0.92	0.94
KN811289.1	2656407	0.92	1.00	0.96	0.91	0.92	0.89
KN811289.1	4296671	0.94	0.80	1.00	0.98	0.99	0.98
KN811289.1	4296839	0.89	0.86	0.92	0.34	0.86	0.93
KN811289.1	4296859	0.98	0.93	0.95	0.95	0.94	0.93
KN811289.1	4296869	0.91	0.76	0.78	0.90	0.67	1.00
KN811289.1	4296891	0.98	1.00	1.00	1.00	0.98	0.88
KN811289.1	4296903	0.98	0.86	0.94	0.97	0.27	0.76
KN811289.1	4296938	0.77	0.57	0.19	0.48	0.52	0.69
KN811289.1	4349507	0.96	0.29	1.00	0.75	0.31	0.36
KN811289.1	5880637	0.35	0.12	0.45	0.40	0.41	0.91
KN811290.1	1489085	1.00	1.00	1.00	0.64	0.79	1.00
KN811290.1	1489094	1.00	1.00	1.00	1.00	1.00	1.00
KN811290.1	2749312	0.95	0.89	0.93	1.00	0.96	0.91
KN811290.1	2749318	0.82	0.95	0.97	0.88	0.93	0.92
KN811290.1	2749323	0.90	0.84	1.00	0.96	0.87	0.85
KN811290.1	2749325	0.81	0.92	1.00	0.88	0.86	0.89
KN811290.1	2749357	0.80	0.84	0.77	0.88	0.77	0.85
KN811290.1	2749429	0.86	1.00	1.00	0.96	0.88	0.98
KN811291.1	681034	0.62	0.33	0.42	0.33	0.79	0.53
KN811291.1	1225248	0.98	0.70	1.00	0.81	0.95	0.88
KN811291.1	1225254	0.80	0.70	1.00	0.68	0.89	0.88
KN811291.1	1225273	0.82	0.70	1.00	0.76	0.98	0.81
KN811291.1	1225287	0.73	0.70	0.62	0.61	0.76	0.75
KN811291.1	2898727	0.79	0.85	0.87	0.82	0.68	0.85
KN811291.1	2898732	0.31	0.65	0.87	0.93	0.72	0.65
KN811291.1	2898766	0.61	0.25	0.22	0.68	0.33	0.67
KN811292.1	3155605	0.35	0.56	0.42	0.26	0.22	0.65
KN811292.1	3155637	0.61	1.00	0.45	0.94	0.79	0.91
KN811292.1	3155639	0.59	0.88	0.76	0.92	0.31	0.95
KN811292.1	3155644	0.67	0.87	0.76	0.98	0.73	0.49
KN811292.1	3155650	0.83	0.93	0.82	0.98	0.75	1.00
KN811293.1	2642719	0.29	0.50	0.56	0.20	0.11	0.42
KN811294.1	1097825	0.74	0.65	0.59	0.86	0.62	0.50
KN811294.1	1261427	0.18	0.32	0.41	0.44	0.37	0.42
KN811294.1	1261544	0.88	0.81	0.73	1.00	0.85	0.86
KN811294.1	1261576	0.95	0.77	0.71	0.89	0.92	1.00
KN811294.1	1261578	0.91	0.70	1.00	0.97	0.83	0.88
KN811294.1	1261583	0.96	0.59	0.76	0.73	0.81	0.74
KN811294.1	1307598	0.64	0.69	0.74	0.63	0.84	0.74
KN811294.1	1329181	0.72	0.94	1.00	0.45	0.89	0.67
KN811294.1	2061472	0.73	0.18	0.10	0.54	0.43	0.91
KN811294.1	2065989	0.50	1.00	1.00	0.67	1.00	0.47
KN811294.1	2584221	0.44	0.44	0.27	0.53	0.80	0.93
KN811294.1	2584238	0.39	0.25	0.27	0.42	0.51	0.93
KN811295.1	524341	0.81	0.58	0.80	0.72	0.96	0.73
KN811295.1	524373	0.89	0.94	0.70	0.88	0.71	0.79
KN811295.1	524375	0.93	0.84	0.90	0.81	0.92	0.93
KN811295.1	524380	0.93	0.83	0.90	0.94	0.92	0.86
KN811295.1	1232665	0.46	0.68	0.47	0.55	0.75	0.24
KN811295.1	1608293	1.00	1.00	0.99	1.00	0.96	1.00
KN811295.1	2917013	0.72	0.15	0.65	0.50	0.63	0.32
KN811295.1	2917043	0.89	0.69	0.47	0.50	0.85	0.88
KN811296.1	10240	0.96	0.47	0.71	0.93	1.00	0.62
KN811296.1	172159	0.62	0.69	0.50	0.25	0.85	0.88
KN811296.1	1590342	1.00	1.00	0.93	0.95	0.94	0.85
KN811296.1	1590410	0.97	0.97	0.93	0.93	0.92	0.93
KN811296.1	1590431	0.94	0.93	0.71	0.97	0.87	0.84
KN811296.1	1749495	0.85	0.45	0.80	0.86	0.82	0.30
KN811296.1	1749527	0.94	0.95	0.70	0.94	0.65	0.96
KN811296.1	1749529	0.94	0.19	0.80	0.86	0.82	0.98
KN811296.1	1749534	0.96	0.57	0.80	0.97	0.82	0.98
KN811296.1	1749539	0.94	0.54	0.50	0.94	0.94	0.98
KN811296.1	2499252	0.79	1.00	0.97	0.94	0.83	0.80
KN811296.1	2928654	0.69	1.00	0.71	0.68	1.00	0.88
KN811296.1	2928666	0.80	0.58	0.61	0.93	0.74	0.88
KN811296.1	2928698	0.68	0.45	0.57	0.79	0.60	0.91
KN811296.1	2928700	0.86	0.45	0.65	0.85	0.84	0.89
KN811296.1	2928705	0.89	0.55	0.91	0.72	0.80	0.94
KN811296.1	2928711	0.91	0.60	0.68	0.78	1.00	1.00
KN811298.1	336338	0.63	0.72	0.76	0.69	0.72	0.62
KN811298.1	336369	0.46	0.42	0.36	0.14	0.21	0.49
KN811298.1	872520	0.95	1.00	1.00	0.97	0.99	1.00
KN811298.1	1744169	0.22	0.21	0.15	0.48	0.46	0.70
KN811298.1	1920086	0.21	0.45	0.58	0.83	0.45	0.88
KN811298.1	2012590	0.42	0.30	0.51	0.52	0.25	0.91
KN811298.1	2012600	0.89	0.20	0.72	0.60	0.32	0.91
KN811298.1	2370592	0.87	0.78	0.74	0.87	0.86	0.33
KN811298.1	2370636	0.84	0.32	0.88	0.87	0.94	0.59
KN811298.1	2370638	0.77	0.81	0.59	0.92	0.65	0.91
KN811298.1	2370643	0.90	0.88	0.94	0.88	0.66	0.94
KN811298.1	2370649	0.93	0.79	0.50	0.96	0.88	1.00
KN811298.1	2664960	0.92	0.65	0.95	0.90	0.85	0.55
KN811298.1	2664978	0.95	0.81	0.82	0.76	0.94	0.73
KN811298.1	2664990	0.97	0.72	0.95	0.84	0.98	0.73
KN811299.1	2418889	0.90	0.95	1.00	1.00	0.97	0.98
KN811299.1	2418895	0.90	0.95	1.00	0.47	0.94	0.33
KN811299.1	2418900	0.90	1.00	1.00	0.93	0.83	0.31
KN811299.1	2418902	0.85	0.29	1.00	0.96	0.94	0.29
KN811299.1	2418934	0.90	0.18	0.95	0.96	0.41	0.25
KN811300.1	1033214	0.63	0.56	0.31	0.80	0.53	0.71
KN811300.1	1397050	0.72	0.18	0.92	1.00	1.00	1.00
KN811300.1	1977097	0.94	1.00	0.11	0.95	1.00	0.96
KN811300.1	2136304	0.42	0.62	0.62	0.66	0.71	0.67
KN811301.1	690062	0.73	0.80	0.54	0.70	0.76	0.80
KN811301.1	690079	0.84	0.67	0.57	0.67	0.98	0.57
KN811301.1	690108	0.49	0.79	0.61	0.42	0.53	0.53
KN811301.1	1859836	0.86	0.12	0.24	0.75	0.34	0.17
KN811302.1	529835	0.27	0.11	0.94	0.18	0.52	0.39
KN811302.1	1311081	0.63	0.53	0.54	0.86	0.49	0.21
KN811303.1	273087	0.67	0.75	0.96	0.59	0.72	0.84
KN811303.1	273137	0.85	0.64	0.87	0.64	0.82	0.91
KN811303.1	273169	0.83	0.73	1.00	0.71	0.91	0.89
KN811303.1	273171	0.85	1.00	1.00	0.77	0.97	0.97
KN811303.1	273176	0.96	0.73	0.78	0.91	0.94	0.97
KN811303.1	273182	0.94	1.00	1.00	0.95	1.00	0.98
KN811303.1	364850	0.77	0.77	0.94	1.00	0.92	0.38
KN811304.1	387125	0.97	0.10	0.50	0.79	0.87	0.82
KN811304.1	387146	0.38	0.88	0.13	0.16	0.37	0.42
KN811304.1	750816	0.80	1.00	0.32	0.94	0.92	0.90
KN811304.1	967242	0.48	0.88	0.35	0.51	0.68	0.16
KN811304.1	2656802	0.79	0.90	0.53	0.80	0.85	0.35
KN811304.1	2665101	0.60	0.11	0.79	0.35	0.57	0.79
KN811304.1	2709045	0.86	0.55	0.75	0.93	0.70	0.91
KN811304.1	2786594	0.62	0.75	0.94	0.83	0.81	0.89
KN811304.1	2786644	0.94	0.68	0.88	0.79	0.85	0.98
KN811304.1	2786676	0.94	0.75	1.00	0.72	1.00	0.94
KN811304.1	2786678	0.88	0.71	1.00	0.91	0.94	0.94
KN811304.1	2786683	1.00	0.75	0.75	0.78	0.94	0.96
KN811304.1	2786689	0.88	0.74	0.94	0.77	0.95	0.96
KN811305.1	1928217	0.98	0.20	1.00	1.00	1.00	1.00
KN811305.1	1928227	0.73	0.56	1.00	1.00	1.00	1.00
KN811305.1	2495489	0.48	0.54	0.72	0.59	0.58	0.45
KN811306.1	1958466	0.95	0.85	1.00	0.85	1.00	0.87
KN811306.1	1959094	0.95	0.97	0.67	0.75	0.83	0.86
KN811306.1	2322423	0.90	0.67	0.88	0.77	0.85	0.91
KN811306.1	2322430	0.92	0.93	0.92	0.89	0.84	0.89
KN811306.1	2322472	0.95	1.00	1.00	0.93	0.96	0.98
KN811306.1	2322480	0.99	1.00	0.96	0.91	0.94	1.00
KN811308.1	846435	0.83	0.62	0.44	0.80	0.70	0.84
