chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN811359.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811359.1:1:2026859:1 REF	1838312	0.17	0.16	0.50	0.28	0.32	0.43
KN811360.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811360.1:1:2131084:1 REF	115613	0.40	0.24	0.92	0.31	0.64	0.26
KN811360.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811360.1:1:2131084:1 REF	115626	0.27	0.24	0.95	0.77	0.60	0.29
KN811360.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811360.1:1:2131084:1 REF	115658	0.52	0.22	0.52	0.57	0.88	0.28
KN811362.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811362.1:1:2048146:1 REF	101071	0.96	1.00	0.98	0.99	1.00	0.99
KN811362.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811362.1:1:2048146:1 REF	101102	0.98	1.00	1.00	1.00	0.98	1.00
KN811362.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811362.1:1:2048146:1 REF	101632	0.97	0.12	1.00	0.53	0.54	0.15
KN811362.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811362.1:1:2048146:1 REF	672599	0.25	0.40	0.19	0.82	0.78	0.91
KN811362.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811362.1:1:2048146:1 REF	853730	1.00	1.00	1.00	1.00	1.00	1.00
KN811363.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811363.1:1:2087835:1 REF	1573921	0.75	1.00	1.00	0.95	0.43	0.98
KN811364.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811364.1:1:2031786:1 REF	101042	0.82	0.52	0.76	0.84	0.95	0.87
KN811364.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811364.1:1:2031786:1 REF	101044	0.65	0.43	0.67	0.84	0.85	0.86
KN811364.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811364.1:1:2031786:1 REF	190302	0.44	0.89	0.79	0.35	0.89	0.18
KN811364.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811364.1:1:2031786:1 REF	190538	0.71	0.95	0.93	0.78	0.92	0.77
KN811364.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811364.1:1:2031786:1 REF	416750	0.25	0.40	0.19	0.82	0.78	0.91
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	166430	1.00	1.00	0.97	1.00	0.94	1.00
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	314072	0.90	0.97	0.94	0.88	1.00	0.88
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	314080	0.90	0.97	0.71	1.00	1.00	0.98
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	314107	0.96	0.98	0.71	1.00	0.89	0.98
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	625049	0.89	0.87	0.83	0.81	0.89	0.91
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	625057	0.83	0.80	0.58	0.71	0.84	0.93
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	1493168	0.99	0.89	0.37	0.85	0.89	0.85
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	1929649	0.97	1.00	0.70	0.88	0.91	0.85
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	1929657	0.97	1.00	0.79	0.94	0.91	0.87
KN811365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811365.1:1:2075713:1 REF	1929684	0.94	1.00	0.79	0.94	1.00	0.98
KN811366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811366.1:1:2012531:1 REF	138196	0.86	0.75	0.70	0.97	0.93	0.47
KN811366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811366.1:1:2012531:1 REF	1182416	0.64	0.71	0.87	0.57	0.77	0.79
KN811367.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811367.1:1:1966237:1 REF	1871148	0.89	0.64	0.50	0.23	0.66	0.90
KN811368.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811368.1:1:1970194:1 REF	605750	0.80	0.53	0.66	0.47	0.49	0.67
KN811368.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811368.1:1:1970194:1 REF	605751	0.95	1.00	1.00	0.63	0.90	0.95
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	179797	0.75	0.37	1.00	0.93	0.54	0.52
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	322716	0.62	1.00	1.00	1.00	0.41	0.90
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	671531	0.84	0.91	0.75	0.88	0.99	0.95
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	671549	0.81	0.52	0.50	0.86	0.64	0.92
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	974169	0.64	0.41	0.40	0.61	0.77	0.67
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	974210	0.66	0.93	0.93	0.79	0.66	0.77
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	974218	0.73	0.42	0.61	0.81	0.74	0.86
KN811369.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811369.1:1:2059712:1 REF	1809226	0.73	0.33	0.12	0.61	0.52	0.50
KN811370.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811370.1:1:1915679:1 REF	886122	0.74	0.69	0.87	0.92	0.70	0.73
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	665632	0.98	0.91	0.99	0.89	0.97	0.89
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	2064021	0.71	0.92	0.15	0.95	0.96	1.00
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	2064038	0.47	0.92	0.87	0.55	0.95	0.94
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	2064343	0.94	0.72	0.16	0.54	0.68	0.88
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	2290681	0.94	0.18	0.14	0.50	0.38	0.27
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	3590240	0.30	1.00	0.93	0.19	0.67	0.91
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	3590308	1.00	0.96	0.81	0.97	0.99	0.86
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	3590329	0.96	0.91	0.62	0.95	0.98	0.91
KN811371.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811371.1:1:4958163:1 REF	3630900	0.52	1.00	1.00	0.89	0.90	0.97
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	636413	0.59	0.40	0.38	0.68	0.69	0.71
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	636462	0.69	0.75	0.54	0.92	0.82	0.77
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3314799	0.99	0.85	0.81	0.75	0.74	0.91
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3314801	0.95	0.92	0.94	0.98	1.00	0.76
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3314806	0.51	0.89	0.93	0.77	0.74	0.91
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3314812	0.78	0.92	0.80	1.00	1.00	0.94
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3493954	0.67	1.00	1.00	1.00	1.00	1.00
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3573212	0.56	0.76	1.00	0.95	0.74	0.21
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3859949	0.82	0.67	0.77	0.62	0.96	0.68
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3859981	0.88	0.95	0.62	0.88	0.70	0.76
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3859983	0.91	0.84	0.85	0.83	0.93	0.82
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	3859988	0.88	0.84	0.85	0.96	0.93	0.82
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	4263098	0.19	0.62	0.25	0.31	0.58	0.45
KN811372.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811372.1:1:4897111:1 REF	4263100	0.34	0.67	0.36	0.27	0.43	0.62
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	258144	0.84	0.92	0.83	0.89	0.99	0.95
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	258162	0.87	0.54	0.33	0.88	0.65	0.90
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	843386	0.64	0.21	0.87	0.58	0.88	0.71
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	843418	0.89	0.93	0.79	0.82	0.38	0.81
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	843420	0.93	0.28	0.86	0.73	0.90	0.88
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	843425	0.93	0.34	0.79	0.95	0.90	0.94
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	1733810	0.51	1.00	1.00	0.89	0.94	0.97
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	1873895	0.61	0.23	0.50	0.77	0.25	0.79
KN811374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811374.1:1:1908045:1 REF	1873905	0.70	0.33	0.71	0.88	0.31	0.78
KN811375.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811375.1:1:1916407:1 REF	457970	0.85	0.92	0.82	0.94	0.91	0.90
KN811375.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811375.1:1:1916407:1 REF	458142	0.98	0.95	0.69	0.81	0.38	0.79
KN811375.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811375.1:1:1916407:1 REF	458151	0.87	0.97	1.00	0.86	0.79	0.38
KN811375.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811375.1:1:1916407:1 REF	458400	1.00	0.26	1.00	0.98	1.00	0.53
KN811376.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811376.1:1:1900904:1 REF	1748099	0.53	0.63	0.66	0.54	0.69	0.65
KN811376.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811376.1:1:1900904:1 REF	1748101	0.41	0.58	0.86	0.62	0.62	0.60
KN811376.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811376.1:1:1900904:1 REF	1748123	0.67	0.64	0.35	0.62	0.85	0.65
KN811376.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811376.1:1:1900904:1 REF	1748125	0.56	0.64	0.35	0.62	0.39	0.50
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	26268	0.72	0.60	0.16	0.50	0.30	0.88
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	1126745	0.97	0.17	0.97	0.94	1.00	0.93
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	1126749	0.98	0.97	0.97	0.89	0.99	0.80
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	1126756	0.98	0.97	0.94	0.89	1.00	0.60
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	1477687	0.69	0.64	0.88	0.75	0.74	0.85
KN811377.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811377.1:1:1910854:1 REF	1496917	0.70	0.16	0.75	0.20	0.32	0.91
KN811378.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811378.1:1:1871812:1 REF	267774	0.38	0.20	0.14	0.48	0.33	0.60
KN811378.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811378.1:1:1871812:1 REF	749454	0.25	0.25	0.15	0.28	0.25	0.27
KN811379.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811379.1:1:1913468:1 REF	1787783	1.00	0.97	1.00	0.42	0.82	0.13
KN811381.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811381.1:1:1871424:1 REF	1482747	0.83	0.75	0.41	0.80	0.67	0.85
KN811382.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811382.1:1:1828195:1 REF	158875	0.57	0.91	1.00	0.95	0.93	0.92
KN811382.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811382.1:1:1828195:1 REF	158905	0.86	0.94	1.00	0.76	0.93	0.83
KN811382.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811382.1:1:1828195:1 REF	169994	0.87	0.89	0.70	0.57	0.57	0.78
KN811382.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811382.1:1:1828195:1 REF	170004	0.83	0.78	0.49	0.48	0.42	0.81
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	366238	0.81	0.67	0.80	0.75	0.95	0.81
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	366258	0.88	0.80	0.93	0.97	0.80	0.62
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	366268	0.82	0.40	0.69	0.57	0.90	0.81
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	1555267	0.68	0.57	1.00	0.82	0.67	0.77
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	1555286	0.64	0.79	1.00	0.93	0.59	0.77
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	1555299	0.52	0.93	1.00	0.89	0.59	0.64
KN811383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811383.1:1:1884223:1 REF	1555306	0.60	0.93	1.00	0.96	0.62	0.71
KN811384.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811384.1:1:1786201:1 REF	363942	0.10	0.87	0.36	0.22	0.46	0.25
KN811384.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811384.1:1:1786201:1 REF	1003619	0.55	0.93	0.91	0.86	0.89	0.78
KN811385.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811385.1:1:1862832:1 REF	1061068	0.16	0.78	0.23	0.74	0.44	0.23
KN811386.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811386.1:1:1829311:1 REF	304512	0.95	0.98	0.75	0.91	0.98	0.98
KN811386.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811386.1:1:1829311:1 REF	304539	0.89	0.97	0.75	0.91	1.00	0.98
KN811386.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811386.1:1:1829311:1 REF	304547	0.88	0.96	0.83	0.55	1.00	0.91
KN811386.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811386.1:1:1829311:1 REF	1687633	0.59	0.42	0.24	0.56	0.41	0.65
KN811386.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811386.1:1:1829311:1 REF	1687634	0.76	0.95	0.65	0.86	0.50	0.98
KN811386.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811386.1:1:1829311:1 REF	1687657	0.73	0.64	0.53	0.85	0.77	0.80
KN811387.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811387.1:1:1759816:1 REF	150573	1.00	0.31	1.00	1.00	1.00	1.00
KN811387.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811387.1:1:1759816:1 REF	150589	1.00	0.62	1.00	1.00	1.00	1.00
KN811387.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811387.1:1:1759816:1 REF	150597	1.00	1.00	1.00	1.00	1.00	1.00
KN811387.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811387.1:1:1759816:1 REF	150604	1.00	1.00	1.00	1.00	1.00	1.00
KN811387.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811387.1:1:1759816:1 REF	150612	1.00	0.62	1.00	1.00	1.00	1.00
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	180944	0.81	0.36	0.92	0.96	0.76	0.88
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573180	0.92	0.75	1.00	0.93	0.85	0.89
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573188	0.70	0.73	1.00	0.67	0.70	0.64
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573305	0.64	0.36	0.31	0.95	0.80	0.97
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573337	0.63	0.34	0.31	0.79	0.80	0.97
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573339	0.74	0.36	0.31	0.93	0.60	0.84
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573344	0.70	0.36	0.31	0.89	0.73	1.00
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	573350	0.52	0.36	0.31	0.98	0.69	0.90
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	1025531	0.87	0.83	0.90	0.96	0.97	0.78
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	1025536	0.86	0.93	1.00	0.95	0.91	0.89
KN811388.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811388.1:1:1841774:1 REF	1025570	1.00	1.00	1.00	1.00	0.91	0.96
KN811389.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811389.1:1:1816976:1 REF	637728	0.70	1.00	0.91	0.67	0.75	0.94
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	159950	0.96	1.00	0.83	0.99	0.20	0.98
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	911281	0.85	1.00	0.76	0.87	0.79	0.81
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	1383426	1.00	1.00	1.00	1.00	0.98	1.00
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	1383441	1.00	1.00	1.00	1.00	1.00	1.00
KN811390.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811390.1:1:1760469:1 REF	1472096	0.14	0.33	0.30	0.18	0.20	0.24
KN811391.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811391.1:1:1825443:1 REF	584295	0.99	0.22	1.00	0.85	0.70	0.92
KN811391.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811391.1:1:1825443:1 REF	851317	0.12	0.12	0.31	0.43	0.20	0.61
KN811391.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811391.1:1:1825443:1 REF	967675	0.95	0.21	0.81	0.90	0.42	0.75
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	540699	0.97	1.00	1.00	1.00	1.00	0.99
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	757459	0.92	0.92	1.00	0.97	0.98	0.92
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	757462	0.89	0.62	0.75	0.99	0.95	0.91
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	1769111	0.96	1.00	0.99	0.71	1.00	1.00
KN811392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811392.1:1:1797619:1 REF	1769142	1.00	1.00	1.00	0.58	1.00	1.00
KN811393.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811393.1:1:1760987:1 REF	749080	0.82	0.52	0.76	0.85	0.95	0.91
KN811393.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811393.1:1:1760987:1 REF	749082	0.65	0.43	0.67	0.84	0.85	0.89
KN811394.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811394.1:1:1748698:1 REF	441783	0.31	0.24	0.56	0.94	1.00	0.67
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	541608	0.46	0.18	0.12	0.44	0.43	0.47
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	1619247	0.88	0.89	0.94	0.95	0.81	0.97
KN811395.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811395.1:1:1805758:1 REF	1619248	0.65	0.90	0.93	1.00	0.77	0.30
KN811396.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811396.1:1:1762343:1 REF	947352	0.70	0.18	0.10	0.60	0.43	1.00
KN811396.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811396.1:1:1762343:1 REF	1372927	0.66	0.53	0.84	0.58	0.33	0.87
KN811397.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811397.1:1:1696083:1 REF	23820	0.94	0.93	0.26	1.00	0.42	0.40
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142762	0.81	0.83	0.84	0.94	0.88	0.78
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142783	0.97	0.92	1.00	0.94	0.87	0.88
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142835	0.77	0.80	0.73	0.89	0.93	0.83
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142838	0.82	0.83	0.83	1.00	0.92	0.89
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	142851	0.76	0.83	0.83	0.91	0.94	0.94
KN811398.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811398.1:1:1678547:1 REF	1324029	0.73	0.93	0.76	0.86	0.62	0.86
KN811399.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811399.1:1:1717631:1 REF	553093	0.20	0.18	0.36	0.25	0.20	0.24
KN811399.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811399.1:1:1717631:1 REF	899621	0.66	0.20	1.00	0.82	0.31	0.91
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82516	0.58	0.50	0.89	0.71	0.64	0.88
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82566	0.90	0.62	0.88	0.91	0.84	0.91
KN811400.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811400.1:1:1804387:1 REF	82598	0.85	0.62	0.94	0.95	0.84	0.88
